#,Tên tin tức,Danh mục,Nội dung tin tức,"Hình ảnh đại diện(Link ảnh jpg, png)","Hình ảnh / Video tin tức(Link ảnh / video jpg, png, mp4)",Chú thích
11,S54 Coffee là ai?,Blog,"S54 Coffee là thương hiệu cà phê Việt năng động, chuyên cung cấp các dòng sản phẩm cà phê hạt rang và hòa tan chất lượng cao. Với tâm huyết nâng tầm nông sản Việt, chúng tôi mang đến giải pháp thưởng thức cà phê chuẩn vị, truyền năng lượng tích cực cho ngày mới.",https://drive.google.com/file/d/1dliT5mbeRxTShyTcOUdEEHq_71VKNTcJ/view?usp=drive_link,https://www.youtube.com/watch?v=7PB6Tn2pyE8,"Bài viết giới thiệu tổng quan thương hiệu, triết lý hoạt động và dòng sản phẩm chính."
12,Ý nghĩa của tên gọi S54 là gì?,Blog,"Tên gọi ""S54"" bắt nguồn từ sự kết hợp đầy tự hào giữa hình ảnh dải đất hình chữ S tươi đẹp và tinh thần đoàn kết của 54 dân tộc anh em. Thương hiệu ra đời với khát vọng lan tỏa bản sắc văn hóa và kết nối mọi người qua từng tách cà phê đậm đà.",https://drive.google.com/file/d/1KzWZKyDS6IjbWDrS6tZFFNv2QL5X7X5-/view?usp=drive_link,https://www.youtube.com/watch?v=jzNhBBOgdF4,Câu chuyện thương hiệu giải thích nguồn gốc tên gọi S54 Coffee.
13,Sứ mệnh của chúng tôi,Blog,"S54 Coffee cam kết mang đến những sản phẩm cà phê nguyên chất, an toàn và chuẩn vị đến tay người tiêu dùng. Đồng thời, chúng tôi luôn hướng tới mục tiêu ""New Coffee, New Income"" nhằm đồng hành cùng sự phát triển bền vững của người nông dân và cộng đồng.",https://drive.google.com/file/d/1KKiN4tv14QfPlHjuHmiuJ_M6aXcC5kDB/view?usp=drive_link,https://www.youtube.com/watch?v=bIC2_Dko3xk,Bài viết công bố sứ mệnh thương hiệu và cam kết chất lượng với xã hội.
14,Tầm nhìn chiến lược của S54,Blog,"Trở thành thương hiệu cà phê Việt uy tín, sáng tạo và sẵn sàng vươn tầm quốc tế là mục tiêu dài hạn của S54 Coffee. Chúng tôi không ngừng cải tiến công nghệ và nâng cao chất lượng dịch vụ để khẳng định vị thế thương hiệu Việt trên thị trường.",https://drive.google.com/file/d/1DuIXoLJ8yb8b7dpmaUnUbLG8z0w6W8sc/view?usp=drive_link,https://www.youtube.com/watch?v=8nVnuZSauE8,Bài viết công bố định hướng chiến lược và tầm nhìn vươn ra thị trường toàn cầu.
15,Gặp gỡ đội ngũ S54 Coffee,Blog,"Đằng sau mỗi sản phẩm S54 Coffee là tập thể những con người trẻ tuổi, đầy nhiệt huyết và cùng chung niềm đam mê cháy bỏng với cà phê Việt. Sự tận tâm và tinh thần sáng tạo không ngừng của đội ngũ chính là động lực lớn nhất giúp thương hiệu phát triển.",https://drive.google.com/file/d/10P2mAsAXXTCER7fwFq_DtRuOfKkfo8Ko/view?usp=drive_link,https://www.youtube.com/watch?v=ZjBMQT0EmUI,"Bài viết giới thiệu nhân sự, văn hóa doanh nghiệp và tinh thần con người S54."
16,Lý do chúng tôi bắt đầu hành trình này,Blog,Hành trình của S54 Coffee bắt đầu từ mong muốn nâng cao giá trị hạt cà phê Robusta Việt Nam và mang lại nguồn thu nhập tốt hơn cho người trồng. Chúng tôi tin rằng một tách cà phê chất lượng không chỉ làm tỉnh táo trí óc mà còn nâng tầm giá trị lao động Việt.,https://drive.google.com/file/d/1xg0fVUHGLwvQ1Kofby6lWS0W3PmLAiRQ/view?usp=drive_link,https://www.youtube.com/watch?v=AHEC0eUB-WY,Câu chuyện khởi nghiệp chia sẻ động lực thành lập và trăn trở với nông sản Việt.
17,Một ngày làm việc tại S54 Coffee,Blog,"Mỗi ngày tại S54 Coffee đều bắt đầu bằng hương thơm cà phê nồng nàn, sự tập trung cao độ trong khâu kiểm định và không khí làm việc tràn đầy năng lượng. Chúng tôi tỉ mỉ trong từng công đoạn nhỏ để đảm bảo từng sản phẩm ra thị trường đều đạt độ hoàn hảo cao nhất.",https://drive.google.com/file/d/1Ul6UnE_ORVFzQYb7HKUYBTQCY4XoFasz/view?usp=drive_link,https://www.youtube.com/watch?v=POXlP94l-Ho,Bài viết chia sẻ hậu trường vận hành và quy trình làm việc thực tế tại S54 Coffee.
18,Xây dựng một thương hiệu cà phê toàn cầu,Blog,"Để đưa thương hiệu vươn ra thế giới, S54 Coffee tập trung vào việc chuẩn hóa quy trình chất lượng, thiết kế bao bì hiện đại và số hóa kênh bán hàng. Sự kết hợp giữa bản sắc bản địa và tư duy toàn cầu là bước đi chiến lược của chúng tôi.",https://drive.google.com/file/d/1Urt7Tjx-9XmaP4shO7KAI25O9XzMQIwQ/view?usp=drive_link,https://www.youtube.com/watch?v=QAgZN9WTWbo,Bài viết chia sẻ định hướng xây dựng thương hiệu theo tiêu chuẩn quốc tế.
19,Ý nghĩa đằng sau Logo của S54 Coffee,Blog,"Biểu tượng logo của S54 Coffee được thiết kế tối giản nhưng giàu ý nghĩa, gửi gắm thông điệp về sự kết nối, dòng chảy năng lượng và khát vọng vươn lên. Mỗi đường nét đều thể hiện sự hiện đại, chuyên nghiệp nhưng vẫn giữ trọn linh hồn cà phê Việt.",https://drive.google.com/file/d/1e3gEw2lDC_3bihWRMZdy0kBfd53eWxO1/view?usp=drive_link,https://www.youtube.com/watch?v=5ftUHFiFsmY,Bài viết phân tích ý nghĩa thiết kế logo và hệ thống nhận diện thương hiệu
20,Hành trình vươn ra thế giới bắt đầu,Blog,"Bằng việc chủ động nâng cao tiêu chuẩn sản phẩm và đẩy mạnh diện diện trên nền tảng số, S54 Coffee đang từng bước đặt những gạch nối đầu tiên đưa cà phê Việt ra quốc tế. Hành trình này cần sự đồng hành và ủng hộ từ tất cả những người yêu cà phê.",https://drive.google.com/file/d/1QovPwMLfd6NC1NCZQSwuyeY2ndz6BCgQ/view?usp=drive_link,https://www.youtube.com/watch?v=T8MfqRZlsFo,Bài viết tổng kết các cột mốc vươn ra quốc tế và thông điệp đồng hành cùng khách hàng.
,,,,,,
21,Giới thiệu sản phẩm mới: máy xay cà phê bằng tay,Tin tức,Giới thiệu sản phẩm mới: máy xay cà phê bằng tay,https://drive.google.com/file/d/1ZAUJzrj1kkf-MhZcfXJhJ2AkZzrn-hAW/view?usp=drive_link,https://drive.google.com/file/d/1ZAUJzrj1kkf-MhZcfXJhJ2AkZzrn-hAW/view?usp=drive_link,Giới thiệu sản phẩm mới: máy xay cà phê bằng tay
